animal_id,animal_name,animal_category,url
46,eagle,Bird,https://png.pngtree.com/png-vector/20230321/ourmid/pngtree-eagle-bird-transparent-on-white-background-png-image_6656458.png
47,pengiun,Bird,https://png.pngtree.com/png-clipart/20230508/ourmid/pngtree-arctic-penguins-ai-png-image_7090776.png
48,owl,Bird,https://png.pngtree.com/png-vector/20220825/ourmid/pngtree-cute-owl-cartoon-png-image_6124386.png
49,flamingo,Bird,https://png.pngtree.com/png-clipart/20190604/original/pngtree-flamingos-png-image_1366711.jpg
50,humminbird,Bird,https://png.pngtree.com/png-vector/20240129/ourmid/pngtree-hummingbird-png-with-ai-generated-png-image_11563630.png
51,woodpecker,Bird,https://png.pngtree.com/png-vector/20240715/ourlarge/pngtree-woodpecker-bird-png-image_13098083.png
52,pigeon,Bird,https://png.pngtree.com/png-clipart/20211018/ourmid/pngtree-racing-pigeon-png-image_3988850.png
53,kingfisher,Bird,https://png.pngtree.com/png-clipart/20230414/original/pngtree-a-kingfisher-bird-sitting-on-tree-png-image_9055070.png
54,vulture,Bird,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2ZlmPokfuu6OEB8mG-jTNSuEyJ395vIhv3A&s
55,heron,Bird,https://png.pngtree.com/png-vector/20201127/ourmid/pngtree-egrets-protect-animals-png-image_2406400.jpg
56,woodcock,Bird,https://png.pngtree.com/png-vector/20240824/ourmid/pngtree-woodcock-bird-png-image_13610012.png
57,swan,Bird,https://png.pngtree.com/png-vector/20240205/ourmid/pngtree-swan-little-bird-png-image_11623895.png
58,macaw,Bird,https://png.pngtree.com/png-clipart/20230429/ourmid/pngtree-isolated-scarlet-macaw-parrot-flying-on-transparent-png-image_6745591.png
59,crane,Bird,https://png.pngtree.com/png-clipart/20210912/original/pngtree-flying-bird-birds-white-crane-png-image_6742186.jpg
60,seagull,Bird,https://png.pngtree.com/png-clipart/20220125/original/pngtree-flying-seagull-png-image_7223637.png
61,lion,Wild Animmal,https://img.freepik.com/free-psd/3d-rendering-lion-isolated_23-2151673509.jpg?semt=ais_hybrid
62,tiger,Wild Animmal,https://www.aiscribbles.com/img/variant/large-preview/72517/?v=66aa08
63,elephant,Wild Animmal,https://www.shutterstock.com/shutterstock/photos/2162378867/display_1500/stock-vector-cartoon-cute-baby-elephant-sitting-2162378867.jpg
64,giraffe,Wild Animmal,https://t4.ftcdn.net/jpg/02/82/56/21/360_F_282562173_IBawrjFoWRFCv6jpUmvUUpNK7XfZ75BG.jpg
65,zebra,Wild Animmal,https://www.shutterstock.com/image-vector/cartoon-zebra-lively-character-known-260nw-2467359401.jpg
66,wolf,Wild Animal,https://png.pngtree.com/png-vector/20230906/ourmid/pngtree-wolf-howling-side-view-png-image_9994722.png
67,leopard,Wild Animal,https://png.pngtree.com/png-vector/20220725/ourmid/pngtree-cartoon-leopard-lying-on-a-tree-branch-png-image_6054115.png
